Expected_Return_Range,Investment_Type,Unique_Respondents,Average_Preference_Rank,Category_Preference_Rank
10%-20%,Debenture,3,2.33,1
10%-20%,Equity,3,3.33,3
10%-20%,Fixed Deposit,3,6.67,6
10%-20%,Gold,3,5.67,5
10%-20%,Government Bond,3,3.67,4
10%-20%,Mutual Fund,3,3.67,4
10%-20%,PPF,3,2.67,2
20%-30%,Debenture,32,5.97,6
20%-30%,Equity,32,3.44,4
20%-30%,Fixed Deposit,32,3.41,3
20%-30%,Gold,32,6.22,7
20%-30%,Government Bond,32,4.66,5
20%-30%,Mutual Fund,32,2.31,2
20%-30%,PPF,32,2.0,1
30%-40%,Debenture,5,6.4,7
30%-40%,Equity,5,3.8,4
30%-40%,Fixed Deposit,5,2.8,2
30%-40%,Gold,5,4.6,5
30%-40%,Government Bond,5,5.2,6
30%-40%,Mutual Fund,5,3.4,3
30%-40%,PPF,5,1.8,1
