Column,Data_Type,Total_Rows,Non_Null,Null_Count,Missing_%,Blank_Count,Unique_Values,Duplicate_Values,Numeric_Like_%,Expected_Return_Range_Values,Sample_Values
gender,str,40,40,0,0.0,0,2,38,0.0,0,Female | Male
age,int64,40,40,0,0.0,0,14,26,100.0,0,34 | 23 | 30 | 22 | 24
Investment_Avenues,str,40,40,0,0.0,0,2,38,0.0,0,Yes | No
Mutual_Funds,int64,40,40,0,0.0,0,6,34,100.0,0,1 | 4 | 3 | 2 | 7
Equity_Market,int64,40,40,0,0.0,0,6,34,100.0,0,2 | 3 | 6 | 1 | 5
Debentures,int64,40,40,0,0.0,0,7,33,100.0,0,5 | 2 | 4 | 3 | 7
Government_Bonds,int64,40,40,0,0.0,0,7,33,100.0,0,3 | 1 | 2 | 7 | 6
Fixed_Deposits,int64,40,40,0,0.0,0,7,33,100.0,0,7 | 5 | 6 | 4 | 3
PPF,int64,40,40,0,0.0,0,6,34,100.0,0,6 | 1 | 4 | 5 | 2
Gold,int64,40,40,0,0.0,0,6,34,100.0,0,4 | 7 | 5 | 2 | 6
Stock_Marktet,str,40,40,0,0.0,0,2,38,0.0,0,Yes | No
Factor,str,40,40,0,0.0,0,3,37,0.0,0,Returns | Locking Period | Risk
Objective,str,40,40,0,0.0,0,3,37,0.0,0,Capital Appreciation | Income | Growth
Purpose,str,40,40,0,0.0,0,3,37,0.0,0,Wealth Creation | Savings for Future | Returns
Duration,str,40,40,0,0.0,0,4,36,0.0,0,1-3 years | More than 5 years | 3-5 years | Less than 1 year
Invest_Monitor,str,40,40,0,0.0,0,3,37,0.0,0,Monthly | Weekly | Daily
Expect,str,40,40,0,0.0,0,3,37,0.0,40,20%-30% | 10%-20% | 30%-40%
Avenue,str,40,40,0,0.0,0,4,36,0.0,0,Mutual Fund | Equity | Fixed Deposits | Public Provident Fund
What are your savings objectives?,str,40,40,0,0.0,0,3,37,0.0,0,Retirement Plan | Health Care | Education
Reason_Equity,str,40,40,0,0.0,0,3,37,0.0,0,Capital Appreciation | Dividend | Liquidity
Reason_Mutual,str,40,40,0,0.0,0,3,37,0.0,0,Better Returns | Tax Benefits | Fund Diversification
Reason_Bonds,str,40,40,0,0.0,0,3,37,0.0,0,Safe Investment | Assured Returns | Tax Incentives
Reason_FD,str,40,40,0,0.0,0,3,37,0.0,0,Fixed Returns | High Interest Rates | Risk Free
Source,str,40,40,0,0.0,0,4,36,0.0,0,Newspapers and Magazines | Financial Consultants | Television | Internet
