Respondent_ID,Investment_Type_Raw,Preference_Rank,Investment_Type,Preference_Level,Investment_Record_Count,Investment_Key,Preference_Category,Preference_Score,Investment_Display_Order,Is_Highest_Preference,Is_Top_3_Preference,Investment_Type_Key,Gender,age,Age_Group,Age_Group_Sort,Investor_Age_Segment,Investment_Objective,Investment_Purpose,Decision_Factor,Savings_Objective,Information_Source,Expected_Return_Range,Investment_Duration,Duration_Segment,Investment_Avenue
1,Mutual_Funds,1.0,Mutual Fund,Highest Preference,7,mutual_fund,Highest Preference,7.0,1,1,1,mutual_fund,Female,34.0,25-34,2,30+,Capital Appreciation,Wealth Creation,Returns,Retirement Plan,Newspapers and Magazines,20%-30%,1-3 years,Medium Term,Yes
1,Equity_Market,2.0,Equity,High Preference,7,equity,High Preference,6.0,2,0,1,equity,Female,34.0,25-34,2,30+,Capital Appreciation,Wealth Creation,Returns,Retirement Plan,Newspapers and Magazines,20%-30%,1-3 years,Medium Term,Yes
1,Government_Bonds,3.0,Government Bond,Moderate Preference,7,government_bond,Moderate Preference,5.0,4,0,1,government_bond,Female,34.0,25-34,2,30+,Capital Appreciation,Wealth Creation,Returns,Retirement Plan,Newspapers and Magazines,20%-30%,1-3 years,Medium Term,Yes
1,Gold,4.0,Gold,Moderate Preference,7,gold,Moderate Preference,4.0,7,0,0,gold,Female,34.0,25-34,2,30+,Capital Appreciation,Wealth Creation,Returns,Retirement Plan,Newspapers and Magazines,20%-30%,1-3 years,Medium Term,Yes
1,Debentures,5.0,Debenture,Moderate Preference,7,debenture,Moderate Preference,3.0,3,0,0,debenture,Female,34.0,25-34,2,30+,Capital Appreciation,Wealth Creation,Returns,Retirement Plan,Newspapers and Magazines,20%-30%,1-3 years,Medium Term,Yes
1,PPF,6.0,PPF,Low Preference,7,ppf,Low Preference,2.0,6,0,0,ppf,Female,34.0,25-34,2,30+,Capital Appreciation,Wealth Creation,Returns,Retirement Plan,Newspapers and Magazines,20%-30%,1-3 years,Medium Term,Yes
1,Fixed_Deposits,7.0,Fixed Deposit,Lowest Preference,7,fixed_deposit,Lowest Preference,1.0,5,0,0,fixed_deposit,Female,34.0,25-34,2,30+,Capital Appreciation,Wealth Creation,Returns,Retirement Plan,Newspapers and Magazines,20%-30%,1-3 years,Medium Term,Yes
2,Government_Bonds,1.0,Government Bond,Highest Preference,7,government_bond,Highest Preference,7.0,4,1,1,government_bond,Female,23.0,Under 25,1,Under 30,Capital Appreciation,Wealth Creation,Locking Period,Health Care,Financial Consultants,20%-30%,More than 5 years,Long Term,Yes
2,Debentures,2.0,Debenture,High Preference,7,debenture,High Preference,6.0,3,0,1,debenture,Female,23.0,Under 25,1,Under 30,Capital Appreciation,Wealth Creation,Locking Period,Health Care,Financial Consultants,20%-30%,More than 5 years,Long Term,Yes
2,Equity_Market,3.0,Equity,Moderate Preference,7,equity,Moderate Preference,5.0,2,0,1,equity,Female,23.0,Under 25,1,Under 30,Capital Appreciation,Wealth Creation,Locking Period,Health Care,Financial Consultants,20%-30%,More than 5 years,Long Term,Yes
2,Mutual_Funds,4.0,Mutual Fund,Moderate Preference,7,mutual_fund,Moderate Preference,4.0,1,0,0,mutual_fund,Female,23.0,Under 25,1,Under 30,Capital Appreciation,Wealth Creation,Locking Period,Health Care,Financial Consultants,20%-30%,More than 5 years,Long Term,Yes
2,Fixed_Deposits,5.0,Fixed Deposit,Moderate Preference,7,fixed_deposit,Moderate Preference,3.0,5,0,0,fixed_deposit,Female,23.0,Under 25,1,Under 30,Capital Appreciation,Wealth Creation,Locking Period,Health Care,Financial Consultants,20%-30%,More than 5 years,Long Term,Yes
2,PPF,6.0,PPF,Low Preference,7,ppf,Low Preference,2.0,6,0,0,ppf,Female,23.0,Under 25,1,Under 30,Capital Appreciation,Wealth Creation,Locking Period,Health Care,Financial Consultants,20%-30%,More than 5 years,Long Term,Yes
2,Gold,7.0,Gold,Lowest Preference,7,gold,Lowest Preference,1.0,7,0,0,gold,Female,23.0,Under 25,1,Under 30,Capital Appreciation,Wealth Creation,Locking Period,Health Care,Financial Consultants,20%-30%,More than 5 years,Long Term,Yes
3,PPF,1.0,PPF,Highest Preference,7,ppf,Highest Preference,7.0,6,1,1,ppf,Male,30.0,25-34,2,30+,Capital Appreciation,Wealth Creation,Returns,Retirement Plan,Television,20%-30%,3-5 years,Medium Term,Yes
3,Government_Bonds,2.0,Government Bond,High Preference,7,government_bond,High Preference,6.0,4,0,1,government_bond,Male,30.0,25-34,2,30+,Capital Appreciation,Wealth Creation,Returns,Retirement Plan,Television,20%-30%,3-5 years,Medium Term,Yes
3,Mutual_Funds,3.0,Mutual Fund,Moderate Preference,7,mutual_fund,Moderate Preference,5.0,1,0,1,mutual_fund,Male,30.0,25-34,2,30+,Capital Appreciation,Wealth Creation,Returns,Retirement Plan,Television,20%-30%,3-5 years,Medium Term,Yes
3,Debentures,4.0,Debenture,Moderate Preference,7,debenture,Moderate Preference,4.0,3,0,0,debenture,Male,30.0,25-34,2,30+,Capital Appreciation,Wealth Creation,Returns,Retirement Plan,Television,20%-30%,3-5 years,Medium Term,Yes
3,Fixed_Deposits,5.0,Fixed Deposit,Moderate Preference,7,fixed_deposit,Moderate Preference,3.0,5,0,0,fixed_deposit,Male,30.0,25-34,2,30+,Capital Appreciation,Wealth Creation,Returns,Retirement Plan,Television,20%-30%,3-5 years,Medium Term,Yes
3,Equity_Market,6.0,Equity,Low Preference,7,equity,Low Preference,2.0,2,0,0,equity,Male,30.0,25-34,2,30+,Capital Appreciation,Wealth Creation,Returns,Retirement Plan,Television,20%-30%,3-5 years,Medium Term,Yes
3,Gold,7.0,Gold,Lowest Preference,7,gold,Lowest Preference,1.0,7,0,0,gold,Male,30.0,25-34,2,30+,Capital Appreciation,Wealth Creation,Returns,Retirement Plan,Television,20%-30%,3-5 years,Medium Term,Yes
4,Equity_Market,1.0,Equity,Highest Preference,7,equity,Highest Preference,7.0,2,1,1,equity,Male,22.0,Under 25,1,Under 30,Income,Wealth Creation,Returns,Retirement Plan,Internet,10%-20%,Less than 1 year,Short Term,Yes
4,Mutual_Funds,2.0,Mutual Fund,High Preference,7,mutual_fund,High Preference,6.0,1,0,1,mutual_fund,Male,22.0,Under 25,1,Under 30,Income,Wealth Creation,Returns,Retirement Plan,Internet,10%-20%,Less than 1 year,Short Term,Yes
4,Debentures,3.0,Debenture,Moderate Preference,7,debenture,Moderate Preference,5.0,3,0,1,debenture,Male,22.0,Under 25,1,Under 30,Income,Wealth Creation,Returns,Retirement Plan,Internet,10%-20%,Less than 1 year,Short Term,Yes
4,PPF,4.0,PPF,Moderate Preference,7,ppf,Moderate Preference,4.0,6,0,0,ppf,Male,22.0,Under 25,1,Under 30,Income,Wealth Creation,Returns,Retirement Plan,Internet,10%-20%,Less than 1 year,Short Term,Yes
4,Gold,5.0,Gold,Moderate Preference,7,gold,Moderate Preference,3.0,7,0,0,gold,Male,22.0,Under 25,1,Under 30,Income,Wealth Creation,Returns,Retirement Plan,Internet,10%-20%,Less than 1 year,Short Term,Yes
4,Fixed_Deposits,6.0,Fixed Deposit,Low Preference,7,fixed_deposit,Low Preference,2.0,5,0,0,fixed_deposit,Male,22.0,Under 25,1,Under 30,Income,Wealth Creation,Returns,Retirement Plan,Internet,10%-20%,Less than 1 year,Short Term,Yes
4,Government_Bonds,7.0,Government Bond,Lowest Preference,7,government_bond,Lowest Preference,1.0,4,0,0,government_bond,Male,22.0,Under 25,1,Under 30,Income,Wealth Creation,Returns,Retirement Plan,Internet,10%-20%,Less than 1 year,Short Term,Yes
5,Equity_Market,1.0,Equity,Highest Preference,7,equity,Highest Preference,7.0,2,1,1,equity,Female,24.0,Under 25,1,Under 30,Income,Wealth Creation,Returns,Retirement Plan,Internet,20%-30%,Less than 1 year,Short Term,No
5,Mutual_Funds,2.0,Mutual Fund,High Preference,7,mutual_fund,High Preference,6.0,1,0,1,mutual_fund,Female,24.0,Under 25,1,Under 30,Income,Wealth Creation,Returns,Retirement Plan,Internet,20%-30%,Less than 1 year,Short Term,No
5,Debentures,3.0,Debenture,Moderate Preference,7,debenture,Moderate Preference,5.0,3,0,1,debenture,Female,24.0,Under 25,1,Under 30,Income,Wealth Creation,Returns,Retirement Plan,Internet,20%-30%,Less than 1 year,Short Term,No
5,Fixed_Deposits,4.0,Fixed Deposit,Moderate Preference,7,fixed_deposit,Moderate Preference,4.0,5,0,0,fixed_deposit,Female,24.0,Under 25,1,Under 30,Income,Wealth Creation,Returns,Retirement Plan,Internet,20%-30%,Less than 1 year,Short Term,No
5,PPF,5.0,PPF,Moderate Preference,7,ppf,Moderate Preference,3.0,6,0,0,ppf,Female,24.0,Under 25,1,Under 30,Income,Wealth Creation,Returns,Retirement Plan,Internet,20%-30%,Less than 1 year,Short Term,No
5,Government_Bonds,6.0,Government Bond,Low Preference,7,government_bond,Low Preference,2.0,4,0,0,government_bond,Female,24.0,Under 25,1,Under 30,Income,Wealth Creation,Returns,Retirement Plan,Internet,20%-30%,Less than 1 year,Short Term,No
5,Gold,7.0,Gold,Lowest Preference,7,gold,Lowest Preference,1.0,7,0,0,gold,Female,24.0,Under 25,1,Under 30,Income,Wealth Creation,Returns,Retirement Plan,Internet,20%-30%,Less than 1 year,Short Term,No
6,PPF,1.0,PPF,Highest Preference,7,ppf,Highest Preference,7.0,6,1,1,ppf,Female,24.0,Under 25,1,Under 30,Capital Appreciation,Wealth Creation,Risk,Retirement Plan,Internet,30%-40%,1-3 years,Medium Term,No
6,Gold,2.0,Gold,High Preference,7,gold,High Preference,6.0,7,0,1,gold,Female,24.0,Under 25,1,Under 30,Capital Appreciation,Wealth Creation,Risk,Retirement Plan,Internet,30%-40%,1-3 years,Medium Term,No
