Gender,Investment_Type,Respondent_Count,Average_Preference_Rank,Analysis_Type,Age_Group,Investment_Objective,Female_Respondents,Female_Average_Preference_Rank,Young_Investor_Count
Female,Debenture,15.0,5.2,Gender × Investment,,,,,
Female,Equity,15.0,3.3333333333333335,Gender × Investment,,,,,
Female,Fixed Deposit,15.0,4.2,Gender × Investment,,,,,
Female,Gold,15.0,5.866666666666666,Gender × Investment,,,,,
Female,Government Bond,15.0,4.333333333333333,Gender × Investment,,,,,
Female,Mutual Fund,15.0,2.7333333333333334,Gender × Investment,,,,,
Female,PPF,15.0,2.3333333333333335,Gender × Investment,,,,,
Male,Debenture,25.0,6.08,Gender × Investment,,,,,
Male,Equity,25.0,3.56,Gender × Investment,,,,,
Male,Fixed Deposit,25.0,3.2,Gender × Investment,,,,,
Male,Gold,25.0,6.04,Gender × Investment,,,,,
Male,Government Bond,25.0,4.84,Gender × Investment,,,,,
Male,Mutual Fund,25.0,2.44,Gender × Investment,,,,,
Male,PPF,25.0,1.84,Gender × Investment,,,,,
,Debenture,31.0,6.096774193548387,Age Group × Investment,25-34,,,,
,Equity,31.0,3.6129032258064515,Age Group × Investment,25-34,,,,
,Fixed Deposit,31.0,3.3870967741935485,Age Group × Investment,25-34,,,,
,Gold,31.0,6.032258064516129,Age Group × Investment,25-34,,,,
,Government Bond,31.0,4.580645161290323,Age Group × Investment,25-34,,,,
,Mutual Fund,31.0,2.5161290322580645,Age Group × Investment,25-34,,,,
,PPF,31.0,1.7741935483870968,Age Group × Investment,25-34,,,,
,Debenture,2.0,7.0,Age Group × Investment,35-44,,,,
,Equity,2.0,4.0,Age Group × Investment,35-44,,,,
,Fixed Deposit,2.0,3.0,Age Group × Investment,35-44,,,,
,Gold,2.0,6.0,Age Group × Investment,35-44,,,,
,Government Bond,2.0,5.0,Age Group × Investment,35-44,,,,
,Mutual Fund,2.0,2.0,Age Group × Investment,35-44,,,,
,PPF,2.0,1.0,Age Group × Investment,35-44,,,,
,Debenture,7.0,3.857142857142857,Age Group × Investment,Under 25,,,,
,Equity,7.0,2.7142857142857144,Age Group × Investment,Under 25,,,,
,Fixed Deposit,7.0,4.571428571428571,Age Group × Investment,Under 25,,,,
,Gold,7.0,5.714285714285714,Age Group × Investment,Under 25,,,,
,Government Bond,7.0,4.857142857142857,Age Group × Investment,Under 25,,,,
,Mutual Fund,7.0,2.857142857142857,Age Group × Investment,Under 25,,,,
,PPF,7.0,3.4285714285714284,Age Group × Investment,Under 25,,,,
,Debenture,26.0,5.846153846153846,Objective × Investment,,Capital Appreciation,,,
,Equity,26.0,3.5,Objective × Investment,,Capital Appreciation,,,
,Fixed Deposit,26.0,3.5,Objective × Investment,,Capital Appreciation,,,
,Gold,26.0,6.038461538461538,Objective × Investment,,Capital Appreciation,,,
,Government Bond,26.0,4.5,Objective × Investment,,Capital Appreciation,,,
,Mutual Fund,26.0,2.5,Objective × Investment,,Capital Appreciation,,,
,PPF,26.0,2.1153846153846154,Objective × Investment,,Capital Appreciation,,,
,Debenture,11.0,6.2727272727272725,Objective × Investment,,Growth,,,
,Equity,11.0,3.8181818181818183,Objective × Investment,,Growth,,,
,Fixed Deposit,11.0,3.1818181818181817,Objective × Investment,,Growth,,,
,Gold,11.0,5.818181818181818,Objective × Investment,,Growth,,,
,Government Bond,11.0,4.909090909090909,Objective × Investment,,Growth,,,
,Mutual Fund,11.0,2.5454545454545454,Objective × Investment,,Growth,,,
,PPF,11.0,1.4545454545454546,Objective × Investment,,Growth,,,
,Debenture,3.0,3.0,Objective × Investment,,Income,,,
,Equity,3.0,2.0,Objective × Investment,,Income,,,
,Fixed Deposit,3.0,5.666666666666667,Objective × Investment,,Income,,,
,Gold,3.0,6.0,Objective × Investment,,Income,,,
,Government Bond,3.0,5.0,Objective × Investment,,Income,,,
,Mutual Fund,3.0,3.0,Objective × Investment,,Income,,,
,PPF,3.0,3.3333333333333335,Objective × Investment,,Income,,,
,PPF,,,Female Investment Preference,,,15.0,2.3333333333333335,
,Mutual Fund,,,Female Investment Preference,,,15.0,2.7333333333333334,
,Equity,,,Female Investment Preference,,,15.0,3.3333333333333335,
,Fixed Deposit,,,Female Investment Preference,,,15.0,4.2,
,Government Bond,,,Female Investment Preference,,,15.0,4.333333333333333,
,Debenture,,,Female Investment Preference,,,15.0,5.2,
,Gold,,,Female Investment Preference,,,15.0,5.866666666666666,
,PPF,,2.107142857142857,Young Investor Preference,,,,,28.0
,Mutual Fund,,2.7142857142857144,Young Investor Preference,,,,,28.0
,Equity,,3.3214285714285716,Young Investor Preference,,,,,28.0
,Fixed Deposit,,3.5,Young Investor Preference,,,,,28.0
,Government Bond,,4.75,Young Investor Preference,,,,,28.0
,Debenture,,5.571428571428571,Young Investor Preference,,,,,28.0
,Gold,,6.035714285714286,Young Investor Preference,,,,,28.0
Female,,6.0,4.166666666666667,Bond Preference,25-34,Capital Appreciation,,,
Female,,2.0,5.0,Bond Preference,25-34,Growth,,,
Female,,1.0,2.0,Bond Preference,25-34,Income,,,
Female,,1.0,5.0,Bond Preference,35-44,Growth,,,
Female,,4.0,4.25,Bond Preference,Under 25,Capital Appreciation,,,
Female,,1.0,6.0,Bond Preference,Under 25,Income,,,
Male,,15.0,4.733333333333333,Bond Preference,25-34,Capital Appreciation,,,
Male,,7.0,4.857142857142857,Bond Preference,25-34,Growth,,,
Male,,1.0,5.0,Bond Preference,35-44,Growth,,,
Male,,1.0,4.0,Bond Preference,Under 25,Capital Appreciation,,,
Male,,1.0,7.0,Bond Preference,Under 25,Income,,,
