Metric,Value
Total Respondents,40
Average Investor Age,27.8
Male Investors,25
Female Investors,15
Most Preferred Investment,PPF
Second Most Preferred Investment,Mutual Fund
Least Preferred Investment,Gold
Most Common Investment Objective,Capital Appreciation
Most Common Investment Purpose,Wealth Creation
Most Important Decision Factor,Returns
Most Common Investment Duration,3-5 years
Most Trusted Information Source,Financial Consultants
Top Savings Objective,Retirement Plan
Most Common Expected Return Range,20%-30%
