Decision_Factor,Investment_Type,Unique_Respondents,Average_Preference_Rank,Category_Preference_Rank
Locking Period,Debenture,1,2.0,2
Locking Period,Equity,1,3.0,3
Locking Period,Fixed Deposit,1,5.0,5
Locking Period,Gold,1,7.0,7
Locking Period,Government Bond,1,1.0,1
Locking Period,Mutual Fund,1,4.0,4
Locking Period,PPF,1,6.0,6
Returns,Debenture,25,5.52,6
Returns,Equity,25,3.36,3
Returns,Fixed Deposit,25,3.8,4
Returns,Gold,25,6.2,7
Returns,Government Bond,25,4.48,5
Returns,Mutual Fund,25,2.36,2
Returns,PPF,25,2.28,1
Risk,Debenture,14,6.43,7
Risk,Equity,14,3.71,4
Risk,Fixed Deposit,14,3.07,3
Risk,Gold,14,5.5,6
Risk,Government Bond,14,5.21,5
Risk,Mutual Fund,14,2.79,2
Risk,PPF,14,1.29,1
