Respondent_ID,Investment_Type_Raw,Preference_Rank,Investment_Type,Preference_Level,Investment_Record_Count,Investment_Key
1,Mutual_Funds,1.0,Mutual Fund,Highest Preference,7,mutual_fund
1,Equity_Market,2.0,Equity,High Preference,7,equity
1,Government_Bonds,3.0,Government Bond,Moderate Preference,7,government_bond
1,Gold,4.0,Gold,Moderate Preference,7,gold
1,Debentures,5.0,Debenture,Moderate Preference,7,debenture
1,PPF,6.0,PPF,Low Preference,7,ppf
1,Fixed_Deposits,7.0,Fixed Deposit,Lowest Preference,7,fixed_deposit
2,Government_Bonds,1.0,Government Bond,Highest Preference,7,government_bond
2,Debentures,2.0,Debenture,High Preference,7,debenture
2,Equity_Market,3.0,Equity,Moderate Preference,7,equity
2,Mutual_Funds,4.0,Mutual Fund,Moderate Preference,7,mutual_fund
2,Fixed_Deposits,5.0,Fixed Deposit,Moderate Preference,7,fixed_deposit
2,PPF,6.0,PPF,Low Preference,7,ppf
2,Gold,7.0,Gold,Lowest Preference,7,gold
3,PPF,1.0,PPF,Highest Preference,7,ppf
3,Government_Bonds,2.0,Government Bond,High Preference,7,government_bond
3,Mutual_Funds,3.0,Mutual Fund,Moderate Preference,7,mutual_fund
3,Debentures,4.0,Debenture,Moderate Preference,7,debenture
3,Fixed_Deposits,5.0,Fixed Deposit,Moderate Preference,7,fixed_deposit
3,Equity_Market,6.0,Equity,Low Preference,7,equity
3,Gold,7.0,Gold,Lowest Preference,7,gold
4,Equity_Market,1.0,Equity,Highest Preference,7,equity
4,Mutual_Funds,2.0,Mutual Fund,High Preference,7,mutual_fund
4,Debentures,3.0,Debenture,Moderate Preference,7,debenture
4,PPF,4.0,PPF,Moderate Preference,7,ppf
4,Gold,5.0,Gold,Moderate Preference,7,gold
4,Fixed_Deposits,6.0,Fixed Deposit,Low Preference,7,fixed_deposit
4,Government_Bonds,7.0,Government Bond,Lowest Preference,7,government_bond
5,Equity_Market,1.0,Equity,Highest Preference,7,equity
5,Mutual_Funds,2.0,Mutual Fund,High Preference,7,mutual_fund
5,Debentures,3.0,Debenture,Moderate Preference,7,debenture
5,Fixed_Deposits,4.0,Fixed Deposit,Moderate Preference,7,fixed_deposit
5,PPF,5.0,PPF,Moderate Preference,7,ppf
5,Government_Bonds,6.0,Government Bond,Low Preference,7,government_bond
5,Gold,7.0,Gold,Lowest Preference,7,gold
6,PPF,1.0,PPF,Highest Preference,7,ppf
